,Date,Primogem Used,Total Users
528,2024-03-10,157684.0790474818,184031
529,2024-03-11,137362.40599783158,184031
530,2024-03-12,62444.81704931376,184031
531,2024-03-13,14325.505413918783,184031
532,2024-03-14,800391.7973573811,157330
533,2024-03-15,554988.795274701,157330
534,2024-03-16,649371.9162094388,157330
535,2024-03-17,422585.8333040729,157330
536,2024-03-18,360965.65402925893,157330
537,2024-03-19,291872.37194213684,157330
538,2024-03-20,254014.59331475428,157330
539,2024-03-21,223054.59594947775,157330
540,2024-03-22,240990.8530110598,157330
541,2024-03-23,247143.14719403072,157330
542,2024-03-24,227673.37459194526,157330
543,2024-03-25,215642.26654035997,157330
544,2024-03-26,191650.95274091157,157330
545,2024-03-27,175736.42422546225,157330
546,2024-03-28,204356.64556790984,157330
547,2024-03-29,186550.03843313392,157330
548,2024-03-30,185709.33968900057,157330
549,2024-03-31,225680.00696730136,157330
550,2024-04-01,485235.10887291026,157330
551,2024-04-02,167355.7719255114,157330
552,2024-04-03,2912155.5622451305,218800
553,2024-04-04,974106.1736610176,218800
554,2024-04-05,836458.8517377486,218800
555,2024-04-06,699948.6180078277,218800
556,2024-04-07,598622.8755064987,218800
557,2024-04-08,527306.9409145263,218800
558,2024-04-09,495045.32556654,218800
559,2024-04-10,462092.1369075173,218800
560,2024-04-11,431929.4745197108,218800
561,2024-04-12,783867.5907559065,218800
562,2024-04-13,530155.2536349125,218800
563,2024-04-14,422260.4967182428,218800
564,2024-04-15,376681.9009550478,218800
565,2024-04-16,474063.2522807634,218800
566,2024-04-17,349596.83300530247,218800
567,2024-04-18,316496.3821048463,218800
568,2024-04-19,313014.2825225941,218800
569,2024-04-20,321441.78370640683,218800
570,2024-04-21,313237.97200325265,218800
571,2024-04-22,299369.2242024195,218800
572,2024-04-23,154759.56719365172,218800
573,2024-04-24,63559.50185013543,218800
574,2024-04-25,2978162.09566501,331380
575,2024-04-26,1928128.9515501065,331380
576,2024-04-27,1630888.8973554163,331380
577,2024-04-28,1364789.924974357,331380
578,2024-04-29,1111359.6197764724,331380
579,2024-04-30,1316421.143540775,331380
580,2024-05-01,2597142.1728311433,331380
581,2024-05-02,1283440.4151353496,331380
582,2024-05-03,1080324.0222857662,331380
583,2024-05-04,934008.8276443111,331380
584,2024-05-05,833788.172434196,331380
585,2024-05-06,805288.4180665832,331380
586,2024-05-07,727801.7441330537,331380
587,2024-05-08,732681.4489115191,331380
588,2024-05-09,700955.9839488897,331380
589,2024-05-10,825851.5319773925,331380
590,2024-05-11,732263.73099274,331380
591,2024-05-12,704510.8056314293,331380
592,2024-05-13,654106.1767654137,331380
593,2024-05-14,487261.6231964851,331380
594,2024-05-15,749494.9184980836,176189
595,2024-05-16,450152.79273221974,176189
596,2024-05-17,363777.62247361947,176189
597,2024-05-18,335413.414510008,176189
598,2024-05-19,289879.084263001,176189
599,2024-05-20,241131.83111105856,176189
600,2024-05-21,214097.37981095916,176189
601,2024-05-22,219842.6105238253,176189
602,2024-05-23,170484.2463213931,176189
603,2024-05-24,325151.7321707756,176189
604,2024-05-25,226158.29897695547,176189
605,2024-05-26,214199.66878507545,176189
606,2024-05-27,161940.494188473,176189
607,2024-05-28,166716.60244144232,176189
608,2024-05-29,142859.66632446885,176189
609,2024-05-30,138003.56284815219,176189
610,2024-05-31,174501.05565111438,176189
611,2024-06-01,444996.37931907445,176189
612,2024-06-02,224929.51989045567,176189
613,2024-06-03,171293.37833459518,176189
614,2024-06-04,79862.77223986182,176189
615,2024-06-05,37863.96858538778,176189
616,2024-06-06,1789005.102882214,278373
617,2024-06-07,1552950.9096298732,278373
618,2024-06-08,1087598.3086547058,278373
619,2024-06-09,1118698.5574917397,278373
620,2024-06-10,783353.7942769588,278373
621,2024-06-11,805124.6250018069,278373
622,2024-06-12,648936.203409358,278373
623,2024-06-13,578373.5883046861,278373
624,2024-06-14,569667.8821704435,278373
625,2024-06-15,591443.0898214526,278373
626,2024-06-16,904456.7757627767,278373
627,2024-06-17,546945.0700055765,278373
628,2024-06-18,519212.8658494371,278373
629,2024-06-19,482416.0476138526,278373
630,2024-06-20,539263.5645930095,278373
631,2024-06-21,409997.6158169138,278373
632,2024-06-22,410374.03146676044,278373
633,2024-06-23,400471.2360274824,278373
634,2024-06-24,351998.9672574121,278373
635,2024-06-25,290592.88168156653,278373
636,2024-06-26,2500898.026667763,256384
637,2024-06-27,855066.5353757683,256384
638,2024-06-28,751716.7948474649,256384
639,2024-06-29,578937.44629944,256384
640,2024-06-30,653072.2013089276,256384
641,2024-07-01,2240634.070708949,256384
642,2024-07-02,884081.8704877348,256384
643,2024-07-03,667131.0484621116,256384
644,2024-07-04,519991.84271498467,256384
645,2024-07-05,838299.0453013123,256384
646,2024-07-06,547565.6075664713,256384
647,2024-07-07,433768.0197631975,256384
648,2024-07-08,365333.519676828,256384
649,2024-07-09,355247.24400481326,256384
650,2024-07-10,317780.5656863706,256384
651,2024-07-11,313029.829233623,256384
652,2024-07-12,329809.89571166,256384
653,2024-07-13,322102.1323669143,256384
654,2024-07-14,317246.0685341753,256384
655,2024-07-15,352582.6184960749,256384
656,2024-07-16,288238.59367444704,256384
657,2024-07-17,37616.0231109678,256384
658,2024-07-18,2087934.311075596,222323
659,2024-07-19,926689.3883602867,222323
660,2024-07-20,584059.5754312936,222323
661,2024-07-21,536476.5173719922,222323
662,2024-07-22,394367.4994803617,222323
663,2024-07-23,374342.3888667346,222323
664,2024-07-24,325823.93614522874,222323
665,2024-07-25,288501.83106479835,222323
666,2024-07-26,313165.59077718743,222323
667,2024-07-27,276703.65134970983,222323
668,2024-07-28,259189.48634676498,222323
669,2024-07-29,238343.95370771422,222323
670,2024-07-30,237655.53730229818,222323
671,2024-07-31,273258.7304920919,222323
672,2024-08-01,724737.8227318741,222323
673,2024-08-02,350362.78731395473,222323
674,2024-08-03,311734.8201861372,222323
675,2024-08-04,299632.8856035043,222323
676,2024-08-05,260654.32290426877,222323
677,2024-08-06,190376.2341105412,222323
678,2024-08-07,1806454.6866859132,230214
679,2024-08-08,686238.2151019949,230214
680,2024-08-09,566046.0432133882,230214
681,2024-08-10,474880.99136832124,230214
682,2024-08-11,437613.19086511346,230214
683,2024-08-12,401754.4883820559,230214
684,2024-08-13,354952.09044738597,230214
685,2024-08-14,322194.30112332135,230214
686,2024-08-15,332609.95878182,230214
