Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
676,2024-08-05,260654.3229042688,222323,1.1724127638807897,60.0
677,2024-08-06,190376.2341105412,222323,0.8563047193072296,260.0
678,2024-08-07,1806454.6866859128,230214,7.846849829662457,140.0
679,2024-08-08,686238.2151019949,230214,2.9808709075121187,90.0
680,2024-08-09,566046.0432133882,230214,2.4587820167904133,30.0
681,2024-08-10,474880.9913683213,230214,2.0627806795777897,20.0
682,2024-08-11,437613.1908651135,230214,1.9008973861933398,0.0
683,2024-08-12,401754.4883820559,230214,1.7451349109179106,70.0
684,2024-08-13,354952.090447386,230214,1.5418353811991714,70.0
685,2024-08-14,322194.30112332135,230214,1.3995426043738493,70.0
686,2024-08-15,332609.95878182,230214,1.4447859764472188,70.0
687,2024-08-16,816754.7973250777,230214,3.5478068115973733,370.0
688,2024-08-17,492891.1189294765,230214,2.1410127921389512,90.0
689,2024-08-18,395337.2585450662,230214,1.7172598475551712,0.0
690,2024-08-19,313711.2917047739,230214,1.3626942397281394,0.0
691,2024-08-20,289351.24790631764,230214,1.2568794595737776,0.0
692,2024-08-21,263994.9628324686,230214,1.1467372220302354,0.0
693,2024-08-22,267065.9588360443,230214,1.1600769668049915,0.0
694,2024-08-23,285318.4153560789,230214,1.2393617041364942,0.0
695,2024-08-24,277195.9076603087,230214,1.204079281278761,0.0
696,2024-08-25,308513.1859510351,230214,1.3401147886359437,0.0
697,2024-08-26,357035.8203221941,230214,1.550886654687352,200.0
698,2024-08-27,195942.40940496055,230214,0.8511315967098463,2280.0
699,2024-08-28,64583.659256883526,230214,0.28053749666346756,200.0
700,2024-08-29,2462926.952200506,317472,7.7579344074454,200.0
701,2024-08-30,2057841.2936498788,317472,6.48196153881249,700.0
702,2024-08-31,1651202.8977099273,317472,5.201097727389903,0.0
703,2024-09-01,2721628.685477987,317472,8.572814879668087,1000.0
704,2024-09-02,1259099.0647870146,317472,3.9660161046864437,0.0
705,2024-09-03,1111637.6338709735,317472,3.5015296904009596,340.0
706,2024-09-04,874683.634573665,317472,2.755152059311262,0.0
707,2024-09-05,1213512.890826701,317472,3.8224249408662843,800.0
708,2024-09-06,846491.2562169941,317472,2.666349335427988,0.0
709,2024-09-07,783238.3812937019,317472,2.467110111423061,0.0
710,2024-09-08,689995.7168539756,317472,2.1734065267298392,0.0
711,2024-09-09,539604.4743790883,317472,1.6996915456452484,70.0
712,2024-09-10,469916.3656089297,317472,1.480182080967549,90.0
713,2024-09-11,442759.1455118084,317472,1.3946399856107259,70.0
714,2024-09-12,422002.65398623503,317472,1.3292594433091265,70.0
715,2024-09-13,428889.5932554501,317472,1.3509525037025314,70.0
716,2024-09-14,464495.9005407432,317472,1.4631082443199501,70.0
717,2024-09-15,461464.1415775473,317472,1.4535585550144494,0.0
718,2024-09-16,522795.7000342515,317472,1.6467458548604335,0.0
719,2024-09-17,288004.5541307594,317472,0.9071809612525179,180.0
720,2024-09-18,3322748.2785126376,309336,10.7415505421698,0.0
721,2024-09-19,1149099.6300394677,309336,3.7147297115093867,0.0
722,2024-09-20,966781.1579209516,309336,3.125343179975663,100.0
723,2024-09-21,912906.3420192392,309336,2.951180405834559,80.0
724,2024-09-22,821560.1830319391,309336,2.6558828685699014,80.0
725,2024-09-23,624092.2779942908,309336,2.0175222993582733,80.0
726,2024-09-24,581850.8510741073,309336,1.8809671395314718,80.0
